
 PRINT EPTO NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL TOTAL STRAIN LISTING *****                                 
  PowerGraphics Is Currently Enabled                                           
 
  LOAD STEP=     1  SUBSTEP=    20                                             
   TIME=    1.0000      LOAD CASE=   0                                         
  NODAL RESULTS ARE FOR MATERIAL   1                                           
 
    NODE     EPTO1        EPTO2        EPTO3        EPTOINT      EPTOEQV 
    6336  0.12090E-003 0.76749E-004 -0.37291E-003 0.49381E-003 0.36407E-003
    6337  0.12140E-003 0.77995E-004 -0.37767E-003 0.49907E-003 0.36834E-003
    6338  0.12189E-003 0.79247E-004 -0.38241E-003 0.50430E-003 0.37261E-003
    6339  0.12238E-003 0.80505E-004 -0.38713E-003 0.50950E-003 0.37686E-003
    6340  0.12286E-003 0.81768E-004 -0.39182E-003 0.51468E-003 0.38109E-003
    6341  0.12334E-003 0.83036E-004 -0.39649E-003 0.51983E-003 0.38531E-003
    6342  0.12382E-003 0.84309E-004 -0.40114E-003 0.52496E-003 0.38951E-003
    6343  0.12430E-003 0.85588E-004 -0.40576E-003 0.53006E-003 0.39369E-003
    6344  0.12477E-003 0.86870E-004 -0.41036E-003 0.53512E-003 0.39786E-003
    6345  0.12523E-003 0.88156E-004 -0.41493E-003 0.54016E-003 0.40201E-003
    6346  0.12569E-003 0.89444E-004 -0.41947E-003 0.54516E-003 0.40613E-003
    6347  0.12615E-003 0.90734E-004 -0.42398E-003 0.55013E-003 0.41024E-003
    6348  0.12660E-003 0.92025E-004 -0.42846E-003 0.55507E-003 0.41432E-003
    6349  0.12705E-003 0.93314E-004 -0.43291E-003 0.55996E-003 0.41837E-003
    6350  0.12749E-003 0.94602E-004 -0.43733E-003 0.56482E-003 0.42239E-003
    6351  0.12793E-003 0.95887E-004 -0.44171E-003 0.56963E-003 0.42639E-003
    6352  0.12836E-003 0.97167E-004 -0.44604E-003 0.57440E-003 0.43035E-003
    6353  0.12878E-003 0.98442E-004 -0.45034E-003 0.57913E-003 0.43428E-003
    6354  0.12920E-003 0.99710E-004 -0.45460E-003 0.58380E-003 0.43818E-003
    6355  0.12961E-003 0.10097E-003 -0.45882E-003 0.58843E-003 0.44203E-003
    6356  0.13002E-003 0.10222E-003 -0.46299E-003 0.59301E-003 0.44585E-003
    6357  0.13042E-003 0.10346E-003 -0.46711E-003 0.59753E-003 0.44963E-003
    6358  0.13082E-003 0.10468E-003 -0.47118E-003 0.60199E-003 0.45336E-003
    6359  0.13120E-003 0.10590E-003 -0.47520E-003 0.60640E-003 0.45704E-003
    6360  0.13158E-003 0.10710E-003 -0.47917E-003 0.61075E-003 0.46068E-003
    6361  0.13196E-003 0.10828E-003 -0.48308E-003 0.61504E-003 0.46427E-003
    6362  0.13232E-003 0.10945E-003 -0.48695E-003 0.61927E-003 0.46781E-003
    6363  0.13268E-003 0.11060E-003 -0.49075E-003 0.62343E-003 0.47130E-003
    6364  0.13304E-003 0.11173E-003 -0.49449E-003 0.62753E-003 0.47473E-003
    6365  0.13338E-003 0.11284E-003 -0.49818E-003 0.63156E-003 0.47811E-003
    6366  0.13372E-003 0.11394E-003 -0.50181E-003 0.63553E-003 0.48144E-003
    6367  0.13406E-003 0.11501E-003 -0.50537E-003 0.63943E-003 0.48471E-003
    6368  0.13438E-003 0.11606E-003 -0.50888E-003 0.64326E-003 0.48792E-003
    6369  0.13470E-003 0.11709E-003 -0.51232E-003 0.64702E-003 0.49107E-003
    6370  0.13501E-003 0.11810E-003 -0.51570E-003 0.65071E-003 0.49417E-003
    6371  0.13531E-003 0.11909E-003 -0.51901E-003 0.65433E-003 0.49720E-003
    6372  0.13561E-003 0.12005E-003 -0.52226E-003 0.65787E-003 0.50018E-003
    6373  0.13590E-003 0.12099E-003 -0.52545E-003 0.66135E-003 0.50310E-003
    6374  0.13619E-003 0.12191E-003 -0.52857E-003 0.66476E-003 0.50595E-003
    6375  0.13646E-003 0.12281E-003 -0.53163E-003 0.66809E-003 0.50874E-003
    6376  0.13673E-003 0.12369E-003 -0.53462E-003 0.67135E-003 0.51148E-003
    6377  0.13700E-003 0.12454E-003 -0.53754E-003 0.67454E-003 0.51415E-003
    6378  0.13725E-003 0.12537E-003 -0.54040E-003 0.67765E-003 0.51676E-003
    6379  0.13750E-003 0.12617E-003 -0.54319E-003 0.68070E-003 0.51931E-003
    6380  0.13775E-003 0.12696E-003 -0.54592E-003 0.68367E-003 0.52180E-003
    6381  0.13798E-003 0.12772E-003 -0.54859E-003 0.68657E-003 0.52423E-003
    6382  0.13821E-003 0.12846E-003 -0.55119E-003 0.68940E-003 0.52659E-003
    6383  0.13844E-003 0.12918E-003 -0.55372E-003 0.69216E-003 0.52890E-003
    6384  0.13865E-003 0.12987E-003 -0.55619E-003 0.69484E-003 0.53115E-003
    6385  0.13887E-003 0.13055E-003 -0.55859E-003 0.69746E-003 0.53334E-003
    6386  0.13907E-003 0.13120E-003 -0.56093E-003 0.70000E-003 0.53546E-003
    6387  0.13927E-003 0.13183E-003 -0.56321E-003 0.70248E-003 0.53753E-003
    6388  0.13946E-003 0.13245E-003 -0.56542E-003 0.70488E-003 0.53954E-003
    6389  0.13965E-003 0.13304E-003 -0.56757E-003 0.70722E-003 0.54149E-003
    6390  0.13983E-003 0.13361E-003 -0.56965E-003 0.70948E-003 0.54338E-003
    6391  0.14001E-003 0.13416E-003 -0.57167E-003 0.71168E-003 0.54521E-003
    6392  0.14018E-003 0.13470E-003 -0.57363E-003 0.71381E-003 0.54699E-003
    6393  0.14034E-003 0.13521E-003 -0.57553E-003 0.71587E-003 0.54871E-003
    6394  0.14050E-003 0.13570E-003 -0.57737E-003 0.71786E-003 0.55037E-003
    6395  0.14065E-003 0.13618E-003 -0.57914E-003 0.71979E-003 0.55197E-003
    6396  0.14079E-003 0.13664E-003 -0.58085E-003 0.72164E-003 0.55352E-003
    6397  0.14094E-003 0.13708E-003 -0.58250E-003 0.72343E-003 0.55501E-003
    6398  0.14107E-003 0.13750E-003 -0.58409E-003 0.72516E-003 0.55644E-003
    6399  0.14120E-003 0.13790E-003 -0.58562E-003 0.72682E-003 0.55782E-003
    6400  0.14132E-003 0.13829E-003 -0.58708E-003 0.72841E-003 0.55915E-003
    6401  0.14144E-003 0.13865E-003 -0.58849E-003 0.72993E-003 0.56042E-003
    6402  0.14156E-003 0.13900E-003 -0.58984E-003 0.73140E-003 0.56163E-003
    6403  0.14167E-003 0.13934E-003 -0.59113E-003 0.73279E-003 0.56279E-003
    6404  0.14177E-003 0.13966E-003 -0.59235E-003 0.73412E-003 0.56390E-003
    6405  0.14187E-003 0.13996E-003 -0.59352E-003 0.73539E-003 0.56495E-003
    6406  0.14196E-003 0.14024E-003 -0.59463E-003 0.73659E-003 0.56595E-003
    6407  0.14205E-003 0.14051E-003 -0.59568E-003 0.73773E-003 0.56690E-003
    6408  0.14213E-003 0.14076E-003 -0.59761E-003 0.73982E-003 0.56863E-003
    6410  0.14228E-003 0.14122E-003 -0.59849E-003 0.74077E-003 0.56942E-003
    6411  0.14235E-003 0.14143E-003 -0.59931E-003 0.74166E-003 0.57015E-003
    6412  0.14241E-003 0.14162E-003 -0.60007E-003 0.74248E-003 0.57084E-003
    6413  0.14247E-003 0.14180E-003 -0.60077E-003 0.74324E-003 0.57147E-003
    6414  0.14252E-003 0.14196E-003 -0.60142E-003 0.74395E-003 0.57205E-003
    6415  0.14257E-003 0.14211E-003 -0.60201E-003 0.74458E-003 0.57258E-003
    6416  0.14262E-003 0.14224E-003 -0.60254E-003 0.74516E-003 0.57306E-003
    6417  0.14266E-003 0.14236E-003 -0.60302E-003 0.74568E-003 0.57348E-003
